co_atc,anno,count
J01CR02,2008,17979
J01CA04,2008,8824
J01FA09,2008,6710
J01FA10,2008,5050
J01DD08,2008,3451
J01CR02,2009,20605
J01CA04,2009,8283
J01FA09,2009,7724
J01FA10,2009,5659
J01DD08,2009,4342
J01CR02,2010,17688
J01FA09,2010,6200
J01CA04,2010,6164
J01FA10,2010,5483
J01DD08,2010,4011
J01CR02,2011,18738
J01FA09,2011,6054
J01FA10,2011,5635
J01CA04,2011,5095
J01DD08,2011,4309
J01CR02,2012,17760
J01FA09,2012,5227
J01FA10,2012,5153
J01CA04,2012,4298
J01DD08,2012,4087
J01CR02,2013,18698
J01FA10,2013,5240
J01FA09,2013,5130
J01DD08,2013,4523
J01CA04,2013,3968
J01CR02,2014,19361
J01FA09,2014,5313
J01FA10,2014,5139
J01DD08,2014,5119
J01CA04,2014,3600
J01CR02,2015,17391
J01FA10,2015,4891
J01DD08,2015,4738
J01FA09,2015,4720
J01CA04,2015,3346
J01CR02,2016,17201
J01FA10,2016,4822
J01DD08,2016,4602
J01FA09,2016,4551
J01CA04,2016,3112
J01CR02,2017,14690
J01FA10,2017,4391
J01DD08,2017,3806
J01FA09,2017,3619
J01MA02,2017,2482
J01CR02,2018,9336
J01FA10,2018,2818
J01DD08,2018,2555
J01FA09,2018,2294
J01MA02,2018,1414
