co_codifa,anno,count
025300029,2008,24571
026089019,2008,18048
026664021,2008,12997
025680024,2008,12726
033940038,2008,12122
025300029,2009,26187
026089019,2009,18885
026664021,2009,14204
025680024,2009,13429
033940038,2009,13120
025300029,2010,27710
026089019,2010,16443
026664021,2010,14792
033940038,2010,14186
025680024,2010,11722
025300029,2011,25703
026089019,2011,17585
026664021,2011,15397
033940038,2011,15197
025680024,2011,10986
025300029,2012,29629
026089019,2012,20408
033940038,2012,15433
026664021,2012,15229
025680024,2012,10982
025300029,2013,35529
026089019,2013,24732
026664021,2013,17240
033940038,2013,17225
025680024,2013,12319
025300029,2014,38298
026089019,2014,27317
026664021,2014,19385
033940038,2014,17604
025680024,2014,13441
025300029,2015,39937
026089019,2015,28376
026664021,2015,20021
033940038,2015,17880
025680024,2015,15069
025300029,2016,40370
026089019,2016,29023
026664021,2016,18433
033940038,2016,17485
025680024,2016,15339
025300029,2017,40283
026089019,2017,33297
026664021,2017,19400
033940038,2017,16560
025680024,2017,15749
025300029,2018,27096
026089019,2018,22620
026664021,2018,13544
033940038,2018,11505
025680024,2018,10532
