date_part,co_atc,count
2000,A02BC01,13317
2000,A02BC02,3548
2001,A02BC01,40234
2001,A02BC02,7179
2002,A02BC01,58704
2002,A02BC02,14304
2003,A02BC01,65201
2003,A02BC02,19164
2004,A02BC01,78776
2004,A02BC02,28688
2005,A02BC01,79813
2005,A02BC02,37992
2006,A02BC01,75553
2006,A02BC02,43702
2007,A02BC01,63928
2007,A02BC02,52003
2008,A02BC01,104035
2008,A02BC02,82374
2009,A02BC01,191570
2009,A02BC02,136335
2010,A02BC01,223192
2010,A02BC02,166100
2011,A02BC01,241952
2011,A02BC02,194938
2012,A02BC01,258777
2012,A02BC02,222122
2013,A02BC01,274456
2013,A02BC02,255644
2014,A02BC02,294531
2014,A02BC01,290096
2015,A02BC02,323797
2015,A02BC01,291236
2016,A02BC02,329609
2016,A02BC01,280479
2017,A02BC02,337488
2017,A02BC01,268480
