cp_code,date_part,count
462,2008,15415
521.0,2008,13214
401.9,2008,10746
595.9,2008,10347
464.1,2008,9814
462,2009,13985
521.0,2009,12655
464.1,2009,11278
595.9,2009,10575
401.9,2009,9631
521.0,2010,12532
462,2010,10517
595.9,2010,10278
464.1,2010,9731
401.9,2010,9524
521.0,2011,11124
462,2011,10694
530.81,2011,10248
464.1,2011,10115
595.9,2011,9806
530.81,2012,11070
521.0,2012,10505
401.9,2012,9857
462,2012,9659
464.1,2012,9483
530.81,2013,11887
521.0,2013,10667
401.9,2013,10060
462,2013,9928
464.1,2013,9701
530.81,2014,12171
401.9,2014,10507
521.0,2014,10486
595.9,2014,9916
462,2014,9773
530.81,2015,13399
401.9,2015,11667
595.9,2015,10189
464.1,2015,9546
521.0,2015,9397
530.81,2016,12861
595.9,2016,10775
401.9,2016,10345
521.0,2016,9694
464.1,2016,9498
401.9,2017,15608
530.81,2017,12150
595.9,2017,10357
521.0,2017,10251
789.0,2017,9576
