mese,totale
2012-06-01,32
2015-11-01,37
2015-04-01,37
2008-03-01,40
2009-04-01,40
2016-07-01,31
2016-10-01,37
2015-02-01,44
2012-03-01,38
2013-02-01,42
2012-08-01,25
2011-02-01,41
2008-01-01,51
2010-08-01,31
2010-09-01,29
2014-05-01,38
2014-12-01,38
2013-11-01,36
2009-08-01,25
2018-01-01,47
2017-02-01,36
2014-08-01,25
2009-07-01,37
2017-09-01,33
2010-07-01,36
2010-10-01,39
2014-01-01,49
2011-09-01,34
2015-07-01,34
2016-12-01,43
2012-10-01,40
2018-07-01,29
2016-01-01,40
2010-04-01,40
2013-12-01,39
2012-07-01,32
2013-06-01,33
2011-08-01,25
2016-02-01,41
2011-11-01,39
2016-09-01,35
2008-12-01,39
2011-12-01,37
2017-04-01,29
2009-02-01,41
2012-12-01,35
2011-01-01,43
2012-09-01,33
2015-08-01,25
2014-09-01,38
2014-04-01,36
2008-05-01,36
2018-03-01,36
2017-03-01,41
2010-11-01,37
2017-11-01,34
2014-10-01,41
2017-01-01,45
2016-11-01,36
2012-05-01,37
2018-05-01,33
2013-10-01,41
2018-08-01,21
2010-02-01,39
2008-04-01,38
2017-10-01,38
2008-08-01,23
2018-02-01,35
2008-11-01,36
2014-02-01,42
2009-10-01,47
2015-06-01,34
2013-05-01,38
2009-06-01,35
2014-03-01,43
2011-07-01,31
2008-02-01,44
2012-02-01,40
2010-06-01,37
2015-03-01,45
2011-04-01,36
2011-06-01,33
2012-01-01,46
2013-07-01,34
2008-10-01,45
2014-06-01,34
2017-12-01,33
2014-07-01,36
2017-06-01,30
2015-01-01,50
2013-08-01,24
2014-11-01,36
2015-12-01,38
2010-12-01,36
2012-11-01,38
2009-05-01,37
2018-06-01,29
2010-03-01,47
2008-07-01,35
2011-10-01,38
2015-09-01,36
2009-11-01,48
2016-08-01,27
2013-04-01,37
2016-03-01,42
2008-06-01,32
2017-08-01,24
2015-05-01,34
2013-09-01,36
2011-05-01,39
2017-05-01,36
2009-03-01,46
2009-01-01,44
2011-03-01,41
2018-04-01,30
2013-03-01,40
2013-01-01,49
2010-05-01,40
2015-10-01,38
2018-09-01,6
2016-06-01,32
2009-09-01,39
2017-07-01,30
2009-12-01,38
2016-04-01,35
2012-04-01,33
2010-01-01,39
2008-09-01,39
2016-05-01,38
