provincia,anno,count
063,2014,529772
063,2009,529300
063,2015,526266
063,2013,513782
063,2016,510717
063,2008,498438
063,2010,497811
063,2011,491240
063,2012,486730
063,2017,478508
063,2018,315671
062,2009,128584
062,2010,124323
062,2008,123665
062,2011,120963
062,2014,120807
062,2013,119396
062,2015,116979
062,2016,116686
062,2012,115863
062,2017,109613
062,2018,69299
064,2013,39943
064,2008,39905
064,2014,39133
064,2011,38392
064,2009,38354
064,2010,37163
064,2015,36581
064,2012,36127
064,2016,31602
064,2017,28601
061,2009,28411
061,2008,28038
061,2010,27446
061,2014,25655
061,2011,24950
061,2015,24527
061,2013,24512
061,2012,23673
061,2016,22929
061,2017,21821
064,2018,18666
065,2013,16109
065,2009,16064
065,2010,15410
065,2008,15260
065,2015,15055
065,2014,15033
061,2018,14966
065,2011,14486
065,2016,13886
065,2012,13883
065,2017,13015
065,2018,7459
